Model,Maker
WDC WD800LB,Western Digital
WDC WD800JD,Western Digital
WDC WD800JB,Western Digital
WDC WD800BB,Western Digital
WDC WD800AAJS,Western Digital
WDC WD800AAJB,Western Digital
WDC WD60EFRX,Western Digital
WDC WD5003ABYX,Western Digital
WDC WD5002ABYS,Western Digital
WDC WD5000LPVX,Western Digital
WDC WD5000LPCX,Western Digital
WDC WD5000BPKT,Western Digital
WDC WD5000AAJS,Western Digital
WDC WD40EFRX,Western Digital
WDC WD3200LPVX,Western Digital
WDC WD3200BEKX,Western Digital
WDC WD3200BEKT,Western Digital
WDC WD3200AAKS,Western Digital
WDC WD3200AAJS,Western Digital
WDC WD3200AAJB,Western Digital
WDC WD30EZRX,Western Digital
WDC WD30EZRS,Western Digital
WDC WD30EFRX,Western Digital
WDC WD2500JB,Western Digital
WDC WD2500BPVT,Western Digital
WDC WD2500BEVT,Western Digital
WDC WD2500AAJS,Western Digital
WDC WD2500AAJB,Western Digital
WDC WD20EFRX,Western Digital
WDC WD1600BPVT,Western Digital
WDC WD1600AAJS,Western Digital
WDC WD1600AAJB,Western Digital
WDC WD15EARS,Western Digital
WDC WD15EADS,Western Digital
WDC WD10EARX,Western Digital
WDC WD10EARS,Western Digital
WDC WD10EALS,Western Digital
WDC WD10EADX,Western Digital
WDC WD10EADS,Western Digital
WDC WD10EACS,Western Digital
WDC WD1001FALS,Western Digital
WDC WD1000FYPS,Western Digital
TOSHIBA MQ01ABF050M,Toshiba
TOSHIBA MQ01ABF050,Toshiba
TOSHIBA MG08ACA16TA,Toshiba
TOSHIBA MG07ACA14TA,Toshiba
TOSHIBA MD04ABA500V,Toshiba
TOSHIBA MD04ABA400V,Toshiba
TOSHIBA HDWF180,Toshiba
TOSHIBA HDWE160,Toshiba
TOSHIBA DT01ACA300,Toshiba
Seagate SSD,Seagate
Seagate BarraCuda SSD ZA500CM10002,Seagate
Seagate BarraCuda SSD ZA250CM10002,Seagate
Seagate BarraCuda SSD ZA2000CM10002,Seagate
Seagate BarraCuda 120 SSD ZA250CM10003,Seagate
Samsung SSD 850 EVO 1TB,Seagate
ST9320325AS,Seagate
ST9250315AS,Seagate
ST8000NM0055,Seagate
ST8000DM005,Seagate
ST8000DM004,Seagate
ST8000DM002,Seagate
ST6000DX000,Seagate
ST6000DM004,Seagate
ST6000DM001,Seagate
ST500LM030,Seagate
ST500LM021,Seagate
ST500LM012 HN,Seagate
ST4000DX002,Seagate
ST4000DX000,Seagate
ST4000DM005,Seagate
ST4000DM001,Seagate
ST4000DM000,Seagate
ST3500320AS,Seagate
ST33000651AS,Seagate
ST320LT007,Seagate
ST320005XXXX,Seagate
ST32000542AS,Seagate
ST3160318AS,Seagate
ST3160316AS,Seagate
ST31500541AS,Seagate
ST31500341AS,Seagate
ST3000DM001,Seagate
ST250LT007,Seagate
ST250LM004 HN,Seagate
ST2000VN000,Seagate
ST2000DM001,Seagate
ST2000DL003,Seagate
ST2000DL001,Seagate
ST18000NM000J,Seagate
ST16000NM001G,Seagate
ST1500DM003,Seagate
ST1500DL003,Seagate
ST1500DL001,Seagate
ST14000NM001G,Seagate
ST12000NM0117,Seagate
ST12000NM001G,Seagate
ST12000NM0008,Seagate
ST12000NM0007,Seagate
ST1000LM024 HN,Seagate
ST10000NM0086,Seagate
SAMSUNG HD154UI,Samsung
SAMSUNG HD103UJ,Samsung
Hitachi HDT725025VLA380,Hitachi
Hitachi HDT721010SLA360,Hitachi
Hitachi HDS724040ALE640,Hitachi
Hitachi HDS723030BLE640,Hitachi
Hitachi HDS723030ALA640,Hitachi
Hitachi HDS723020BLA642,Hitachi
Hitachi HDS722020ALA330,Hitachi
Hitachi HDS5C4040ALE630,Hitachi
Hitachi HDS5C3030BLE630,Hitachi
Hitachi HDS5C3030ALA630,Hitachi
HGST HUS726040ALE610,Hitachi
HGST HUH728080ALE600,Hitachi
HGST HUH721212ALN604,Hitachi
HGST HUH721212ALE604,Hitachi
HGST HUH721212ALE600,Hitachi
HGST HUH721010ALE600,Hitachi
HGST HMS5C4040BLE641,Hitachi
HGST HMS5C4040BLE640,Hitachi
HGST HMS5C4040ALE640,Hitachi
HGST HDS724040ALE640,Hitachi
HGST HDS5C4040ALE630,Hitachi
DELLBOSS VD,Other
00MD00,Other
